dataset_id,track_id,selection_id,selection_role,source_zip_path,internal_path,row_number,metric_name,raw_metric_value,longitude,latitude,altitude_m,x_local_m,y_local_m,z_local_m,x_aligned_m,y_aligned_m,bs_distance_m,bs_bearing_deg,bs_elevation_deg,note,x_m,y_m,field_score,combined_metric_risk,global_confidence,metric_confidence,poor_proximity,nearest_measured_dist_m,nearest_poor_dist_m,predicted_sinr_db,predicted_throughput_mbps
aerpaw,pawprints_iperf_throughput_altitude30m_flight1,,candidate,C:\Users\52834\Downloads\aerpaw-dataset-24.zip,aerpaw-dataset-24/Logs/pawprints_iperf_throughput_altitude30m_flight1.csv,582,measured_throughput_mbps,160.0,-78.699168,35.7262941,29.733,-293.600433173206,-132.04298771646535,29.733,220.1444745851648,104.89591588412424,322.415712776084,245.78478555871396,3.1572337713194893,,220.1444745851648,104.89591588412424,1.0092080018717828,1.010832943378568,1.0,1.0,1.0,0.0,0.0,20.0,160.0
aerpaw,pawprints_iperf_throughput_altitude30m_flight1,,candidate,C:\Users\52834\Downloads\aerpaw-dataset-24.zip,aerpaw-dataset-24/Logs/pawprints_iperf_throughput_altitude30m_flight1.csv,583,measured_throughput_mbps,157.0,-78.6992076,35.7262133,29.77,-297.15900316927156,-141.02967512512947,29.77,216.58590458909924,95.90922847546011,329.4077125185757,244.61129688469188,3.0963839383307534,,216.58590458909924,95.90922847546011,1.0151743097800654,1.0178521291530183,1.0,1.0,1.0,0.0,0.0,20.0,157.0
aerpaw,pawprints_iperf_throughput_altitude30m_flight1,,candidate,C:\Users\52834\Downloads\aerpaw-dataset-24.zip,aerpaw-dataset-24/Logs/pawprints_iperf_throughput_altitude30m_flight1.csv,584,measured_throughput_mbps,153.0,-78.699242,35.7261421,29.958,-300.2498138722426,-148.94766820460634,29.958,213.4950938861282,87.99123539598324,335.6466165096131,243.61494970958375,3.0707620150387003,,213.4950938861282,87.99123539598324,1.108129386991109,1.127211043518952,1.0,1.0,1.0,0.0,0.0,18.0,153.0
aerpaw,pawprints_iperf_throughput_altitude30m_flight1,,candidate,C:\Users\52834\Downloads\aerpaw-dataset-24.zip,aerpaw-dataset-24/Logs/pawprints_iperf_throughput_altitude30m_flight1.csv,585,measured_throughput_mbps,146.0,-78.6992721,35.7260817,30.149,-302.9548431227409,-155.66403373211665,30.149,210.7900646356299,81.27486986847293,341.0910440337116,242.80502807665454,3.0537117008416503,,210.7900646356299,81.27486986847293,1.1220507721104351,1.1435891436593355,1.0,1.0,1.0,0.0,0.0,18.0,146.0
aerpaw,pawprints_iperf_throughput_altitude30m_flight1,,candidate,C:\Users\52834\Downloads\aerpaw-dataset-24.zip,aerpaw-dataset-24/Logs/pawprints_iperf_throughput_altitude30m_flight1.csv,586,measured_throughput_mbps,159.0,-78.6992965,35.7260331,30.053,-305.1477496912889,-161.0678787904216,30.053,208.59715806708192,75.871024810168,345.52087091556297,242.17330760194056,2.9984415508978666,,208.59715806708192,75.871024810168,1.0111967711745438,1.0131726719700516,1.0,1.0,1.0,0.0,0.0,20.0,159.0
aerpaw,pawprints_iperf_throughput_altitude30m_flight1,,candidate,C:\Users\52834\Downloads\aerpaw-dataset-24.zip,aerpaw-dataset-24/Logs/pawprints_iperf_throughput_altitude30m_flight1.csv,587,measured_throughput_mbps,163.0,-78.699314,35.7259959,29.904,-306.71975965213625,-165.203824055745,29.904,207.02514810623455,71.73507954484458,348.8417775352143,241.69243400157956,2.945244770418904,,207.02514810623455,71.73507954484458,1.0032416939635003,1.003813757604118,1.0,1.0,1.0,0.0,0.0,20.0,163.0
aerpaw,pawprints_iperf_throughput_altitude30m_flight1,,candidate,C:\Users\52834\Downloads\aerpaw-dataset-24.zip,aerpaw-dataset-24/Logs/pawprints_iperf_throughput_altitude30m_flight1.csv,588,measured_throughput_mbps,155.0,-78.699324,35.7259722,29.849,-307.6172415886608,-167.83861368173726,29.849,206.12766616970998,69.10028991885233,350.8809697503591,241.3827378834627,2.919050296467984,,206.12766616970998,69.10028991885233,1.0191518483855873,1.022531586335985,1.0,1.0,1.0,0.0,0.0,20.0,155.0
aerpaw,pawprints_iperf_throughput_altitude30m_flight1,,candidate,C:\Users\52834\Downloads\aerpaw-dataset-24.zip,aerpaw-dataset-24/Logs/pawprints_iperf_throughput_altitude30m_flight1.csv,589,measured_throughput_mbps,159.0,-78.6993279,35.7259618,29.968,-307.9668672342046,-168.99473280693869,29.968,205.77804052416622,67.9441707936509,351.7475856275563,241.24451984619608,2.9312554365031755,,205.77804052416622,67.9441707936509,1.0111967711745438,1.0131726719700516,1.0,1.0,1.0,0.0,0.0,20.0,159.0
aerpaw,pawprints_iperf_throughput_altitude30m_flight1,,candidate,C:\Users\52834\Downloads\aerpaw-dataset-24.zip,aerpaw-dataset-24/Logs/pawprints_iperf_throughput_altitude30m_flight1.csv,590,measured_throughput_mbps,166.0,-78.6993283,35.7259605,30.072,-308.0026424106526,-169.13923529322724,30.072,205.74226534771822,67.79966830736234,351.8536871236137,241.22666982233187,2.9473432489374662,,205.74226534771822,67.79966830736234,1.0397753860552177,1.0467945718296678,1.0,1.0,1.0,0.0,0.0,19.0,166.0
aerpaw,pawprints_iperf_throughput_altitude30m_flight1,,candidate,C:\Users\52834\Downloads\aerpaw-dataset-24.zip,aerpaw-dataset-24/Logs/pawprints_iperf_throughput_altitude30m_flight1.csv,591,measured_throughput_mbps,164.0,-78.6993282,35.7259624,30.09,-307.9942161278789,-168.9280742109189,30.09,205.75069163049193,68.01082938967068,351.7457797463745,241.25619744296125,2.951193250229809,,205.75069163049193,68.01082938967068,0.9587529246607394,0.9514740290126346,1.0,1.0,1.0,0.0,0.0,21.0,164.0
