index,value
0,33.45050752162933
1,2.273498833179474
2,478.50110794805863
3,473.3607320887382
4,2.0
5,6.0
6,0.0
7,4.0
8,4.0
9,1.0
10,3.0
11,4.0
12,5.85752934217453
13,17.358138859272003
14,56.24522089958191
15,16.046209633350372
16,13.67708832025528
17,57.73461580276489
18,37.00660049915314
19,64.91775751113892
20,1.0
21,1.0
22,1.0
23,1.0
24,0.0
25,0.0
26,0.0
27,0.0
28,474.29620004371594
29,413.3374408046002
30,521.9058227567501
31,367.2331991980226
32,198.1076728096973
33,545.1862318007782
34,545.6474327707346
35,145.3724102065801
36,575.3844718827054
37,595.3068783527858
38,64.61504131989413
39,78.95334125050344
40,64.22939201288973
41,123.00882435445976
42,547.6203276409431
43,155.95955263803302
