dataset_id,track_id,selection_id,selection_role,source_zip_path,internal_path,row_number,metric_name,raw_metric_value,longitude,latitude,altitude_m,x_local_m,y_local_m,z_local_m,x_aligned_m,y_aligned_m,bs_distance_m,bs_bearing_deg,bs_elevation_deg,note,model_margin_db,model_sinr_db,model_rate_mbps,model_outage,model_interference_dbm
dryad,yaw45_inputf1_sinr_with_header,DR_P1,poor_sinr,d:\Downloads\doi_10_5061_dryad_wh70rxx06__v20250521.zip,Dryad/yaw45/inputf1_sinr_with_header.csv,415,measured_sinr_db,13.0,-78.6973068,35.7274806,29.8812545,82.60071906764058,-63.1965284893411,29.8812545,403.70778252312095,236.0549273563042,nan,nan,nan,yaw45最低SINR点,-2.9767095587087695,-2.9767095587087686,58.869159461652536,1.0,-37.69290597572123
dryad,yaw315_inputf1_sinr_with_header,DR_P2,poor_sinr,d:\Downloads\doi_10_5061_dryad_wh70rxx06__v20250521.zip,Dryad/yaw315/inputf1_sinr_with_header.csv,2122,measured_sinr_db,13.0,-78.7000257,35.7274513,29.9899178,-162.8283813494495,-66.45453984003558,29.9899178,158.27868210603089,232.79691600560972,nan,nan,nan,yaw315最低SINR点,-6.312689017918821,-6.312689017918821,30.303716915842887,1.0,-44.015751161586
dryad,yaw45_input_throughput_with_header,DR_P3,poor_throughput,d:\Downloads\doi_10_5061_dryad_wh70rxx06__v20250521.zip,Dryad/yaw45/input_throughput_with_header.csv,236,measured_throughput_mbps,28.6,-78.6979081,35.7275855,29.8519723,28.322695572031318,-51.532180683899085,29.8519723,349.4297590275117,247.71927516174622,nan,nan,nan,yaw45最低吞吐点,20.359556340031787,20.359556340031787,677.6518103034527,0.0,-60.96453846683814
dryad,yaw315_input_throughput_with_header,DR_P4,poor_throughput,d:\Downloads\doi_10_5061_dryad_wh70rxx06__v20250521.zip,Dryad/yaw315/input_throughput_with_header.csv,176,measured_throughput_mbps,101.0,-78.6974208,35.7279565,29.9830554,72.31019074888206,-10.278862899750996,29.9830554,393.41725420436245,288.9725929458943,nan,nan,nan,yaw315最低吞吐点,21.419861579408618,21.419861579408618,712.5890377550459,0.0,-54.63055791290528
dryad,yaw315_inputf1_sinr_with_header,DR_C1,classic_corner,d:\Downloads\doi_10_5061_dryad_wh70rxx06__v20250521.zip,Dryad/yaw315/inputf1_sinr_with_header.csv,2187,measured_sinr_db,18.0,-78.7006195,35.7262875,29.9716953,-216.42939640376053,-195.86319546911923,29.9716953,104.67766705171985,103.38826037652606,nan,nan,nan,轨迹西南角点,-1.9386164766544738,-1.9386164766544742,71.36418596876877,1.0,-53.54189009604755
dryad,yaw45_inputf1_sinr_with_header,DR_C2,classic_corner,d:\Downloads\doi_10_5061_dryad_wh70rxx06__v20250521.zip,Dryad/yaw45/inputf1_sinr_with_header.csv,733,measured_sinr_db,22.0,-78.6966537,35.7301585,29.8583572,141.55461420369647,234.57236557209194,29.8583572,462.66167765917686,533.8238214177372,nan,nan,nan,轨迹东北角点,25.11986269730191,25.11986269730191,834.9068961190718,0.0,-74.39170675630592
