x_m,y_m,z_m,margin_db,sinr_db,rate_bps,outage,i_dbm,p_rx_dbm,ee_bpj
159.1895459508205,216.04295521897066,29.9488127,-13.790349716755124,-13.790349716755124,5905019.180047777,1.0,-36.81271725945901,-50.603025379985425,31335.899921946762
170.56022780445053,238.78431892623075,29.9488127,-12.514943255176178,-12.514943255176178,7866581.176520929,1.0,-37.16802725765752,-49.68292537041964,41745.23281960544
147.81886409719047,250.15500077986079,29.9488127,-12.332764938838501,-12.332764938838501,8194192.8561923085,1.0,-38.21326027117311,-50.545967784157,43483.75499784503
147.81886409719047,227.4136370726007,29.9488127,-12.190412974253924,-12.190412974253924,8459377.307738235,1.0,-38.70339456227197,-50.89374324991171,44890.99740995727
159.1895459508205,238.78431892623075,29.9488127,-11.819763647617506,-11.819763647617506,9189526.649156798,1.0,-38.37624801618246,-50.19595204185603,48765.648108480884
136.44818224356044,227.4136370726007,29.9488127,-10.624803502606994,-10.624803502606994,11982141.748225419,1.0,-40.77472527224484,-51.399425200634596,63585.093159669304
159.1895459508205,250.15500077986079,29.9488127,-10.502200172907138,-10.502200172907138,12310987.195612496,1.0,-39.52255272569397,-50.024675267507845,65330.16251760251
170.56022780445053,250.15500077986079,29.9488127,-8.836305308166544,-8.836305308166544,17725225.375513624,1.0,-40.66655320989728,-49.50275749173281,94061.65696087581
90.96545482904028,227.4136370726007,29.9488127,-8.55948911125445,-8.55948911125445,18818829.64093378,1.0,-44.86390830516881,-53.42313185691012,99865.03757159601
181.93090965808057,216.04295521897066,29.9488127,-8.29089149033107,-8.29089149033107,19940082.3485494,1.0,-41.3280480972051,-49.618821939891035,105815.1389280442
136.44818224356044,261.5256826334908,29.9488127,-8.279595881761047,-8.279595881761047,19988575.11890389,1.0,-42.65269176486938,-50.932128041992414,106072.47333330754
193.3015915117106,227.4136370726007,29.9488127,-8.276168742230155,-8.276168742230155,20003309.77518112,1.0,-40.60588783725578,-48.88195695453655,106150.66507162528
147.81886409719047,238.78431892623075,29.9488127,-8.095596844863934,-8.095596844863934,20794127.848218203,1.0,-42.61383756138926,-50.70927622312557,110347.26380188654
170.56022780445053,216.04295521897066,29.9488127,-7.46067844126631,-7.46067844126631,23810854.558078088,1.0,-42.649271107099565,-50.10979006938635,126355.99186689314
159.1895459508205,227.4136370726007,29.9488127,-7.3977387602159155,-7.3977387602159155,24130919.463259462,1.0,-42.991547462382655,-50.389113666453625,128054.46591608493
170.56022780445053,181.93090965808057,29.9488127,-6.978577742081995,-6.978577742081995,26365085.472799927,1.0,-43.91860201170094,-50.896966137756834,139910.4142795598
181.93090965808057,250.15500077986079,29.9488127,-6.9557433378153775,-6.9557433378153775,26492057.022043087,1.0,-42.02399156903583,-48.97959681229348,140584.20849405817
147.81886409719047,216.04295521897066,29.9488127,-6.891510391920917,-6.891510391920917,26852219.1892766,1.0,-44.207073114950916,-51.09835522038303,142495.46488188408
136.44818224356044,204.67227336534063,29.9488127,-6.423932598476512,-6.423932598476512,29610825.487296578,1.0,-45.3863358351084,-51.809968929383146,157134.4369568413
90.96545482904028,159.1895459508205,29.9488127,-6.124702634789898,-6.124702634789898,31507765.825539168,1.0,-48.521978155871636,-54.6460642647979,167200.84500474753
409.34454673068126,238.78431892623075,29.9488127,-6.023424630594462,-6.023424630594462,32174047.355025414,1.0,-34.47568149131055,-40.49908183617033,170736.57125579313
125.07750038993039,227.4136370726007,29.9488127,-5.867304326038997,-5.867304326038997,33225764.77211524,1.0,-46.03883740442275,-51.905793673240396,176317.67281079746
147.81886409719047,284.2670463407509,29.9488127,-5.752661909149232,-5.752661909149232,34017423.91106814,1.0,-44.43963125603025,-50.19205232142173,180518.7347877582
147.81886409719047,204.67227336534063,29.9488127,-5.607414852732525,-5.607414852732525,35044410.17395544,1.0,-45.71496018877119,-51.32205199564514,185968.59663812906
181.93090965808057,238.78431892623075,29.9488127,-5.5429984944887565,-5.5429984944887565,35508579.77133108,1.0,-43.62705652014767,-49.16985526776955,188431.7845815856
