dataset_id,track_id,selection_id,selection_role,source_zip_path,internal_path,row_number,metric_name,raw_metric_value,longitude,latitude,altitude_m,x_local_m,y_local_m,z_local_m,x_aligned_m,y_aligned_m,bs_distance_m,bs_bearing_deg,bs_elevation_deg,note,model_margin_db,model_sinr_db,model_rate_mbps,model_outage,model_interference_dbm
dryad,yaw45_inputf1_sinr_with_header,DR_P1,poor_sinr,C:\Users\52834\Downloads\doi_10_5061_dryad_wh70rxx06__v20250521.zip,Dryad/yaw45/inputf1_sinr_with_header.csv,415,measured_sinr_db,13.0,-78.6973068,35.7274806,29.8812545,82.60071906764058,-63.1965284893411,29.8812545,403.70778252312095,236.0549273563042,nan,nan,nan,yaw45最低SINR点,2.3958347572507535,2.3958347572507535,145.21393788717765,0.0,-43.06557487269801
dryad,yaw315_inputf1_sinr_with_header,DR_P2,poor_sinr,C:\Users\52834\Downloads\doi_10_5061_dryad_wh70rxx06__v20250521.zip,Dryad/yaw315/inputf1_sinr_with_header.csv,2122,measured_sinr_db,13.0,-78.7000257,35.7274513,29.9899178,-162.8283813494495,-66.45453984003558,29.9899178,158.27868210603089,232.79691600560972,nan,nan,nan,yaw315最低SINR点,-12.352028807402554,-12.352028807402554,8.15893300341004,1.0,-37.97624729976792
dryad,yaw45_input_throughput_with_header,DR_P3,poor_throughput,C:\Users\52834\Downloads\doi_10_5061_dryad_wh70rxx06__v20250521.zip,Dryad/yaw45/input_throughput_with_header.csv,236,measured_throughput_mbps,28.6,-78.6979081,35.7275855,29.8519723,28.322695572031318,-51.532180683899085,29.8519723,349.4297590275117,247.71927516174622,nan,nan,nan,yaw45最低吞吐点,15.179358223365483,15.179358223365483,508.5598897113903,0.0,-55.776809215232994
dryad,yaw315_input_throughput_with_header,DR_P4,poor_throughput,C:\Users\52834\Downloads\doi_10_5061_dryad_wh70rxx06__v20250521.zip,Dryad/yaw315/input_throughput_with_header.csv,176,measured_throughput_mbps,101.0,-78.6974208,35.7279565,29.9830554,72.31019074888206,-10.278862899750996,29.9830554,393.41725420436245,288.9725929458943,nan,nan,nan,yaw315最低吞吐点,26.998985465490925,26.998985465490925,897.1745193436705,0.0,-60.216263982829815
dryad,yaw315_inputf1_sinr_with_header,DR_C1,classic_corner,C:\Users\52834\Downloads\doi_10_5061_dryad_wh70rxx06__v20250521.zip,Dryad/yaw315/inputf1_sinr_with_header.csv,2187,measured_sinr_db,18.0,-78.7006195,35.7262875,29.9716953,-216.42939640376053,-195.86319546911923,29.9716953,104.67766705171985,103.38826037652606,nan,nan,nan,轨迹西南角点,-1.393987348309345,-1.3939873483093455,78.69639809350657,1.0,-54.086780933574836
dryad,yaw45_inputf1_sinr_with_header,DR_C2,classic_corner,C:\Users\52834\Downloads\doi_10_5061_dryad_wh70rxx06__v20250521.zip,Dryad/yaw45/inputf1_sinr_with_header.csv,733,measured_sinr_db,22.0,-78.6966537,35.7301585,29.8583572,141.55461420369647,234.57236557209194,29.8583572,462.66167765917686,533.8238214177372,nan,nan,nan,轨迹东北角点,24.106573142379176,24.106573142379176,801.3623648824118,0.0,-73.32912734262362
