x_m,y_m,z_m,margin_db,sinr_db,rate_bps,outage,i_dbm,p_rx_dbm,ee_bpj
0.0,0.0,29.936,6.06830077934022,6.06830077934022,233461869.55770686,0.0,-69.34598868233972,-63.20378140666787,1238901.6118304464
11.403004421644642,0.0,29.936,3.9438677360781895,3.9438677360781895,179893365.12016034,0.0,-66.86922445187214,-62.88341867219074,954632.0366027945
22.806008843289284,0.0,29.936,1.7626620599548914,1.7626620599548914,132227681.9672398,0.0,-64.34355565516454,-62.55739918071025,701686.6978242239
34.20901326493393,0.0,29.936,7.750451944409377,7.750451944409377,279851536.6791403,0.0,-70.06325244719555,-62.22575427107584,1485075.5736765622
45.61201768657857,0.0,29.936,3.1225029520538214,3.1225029520538214,160991787.42990658,0.0,-65.03860188844952,-61.88853978668911,854327.8836764188
57.01502210822321,0.0,29.936,0.1594759896726572,0.15947598967265725,102673154.29331416,0.0,-61.718166608157155,-61.545838987938225,544851.013943677
68.41802652986786,0.0,29.936,4.996879026272069,4.996879026272069,205658559.75669542,0.0,-66.23087386405734,-61.19776561832771,1091359.0371395499
79.8210309515125,0.0,29.936,15.57302164516014,15.57302164516014,521268452.550112,0.0,-76.81491156622515,-60.84446709857187,2766191.8722923105
91.22403537315714,0.0,29.936,-2.643944082900269,-2.6439440829002687,62668058.51112692,1.0,-57.84745926487411,-60.48612781367673,332557.76991252525
102.62703979480177,0.0,29.936,-4.292164390862688,-4.2921643908626885,45649725.208562806,1.0,-55.834127238799105,-60.122972447670406,242247.34534872766
114.03004421644641,0.0,29.936,1.015380171205912,1.0153801712059125,117848627.31162389,0.0,-60.78100965731396,-59.755269309347185,625382.0146518083
125.43304863809107,0.0,29.936,6.502229282943901,6.502229282943901,245131119.35391924,0.0,-65.9192936170288,-59.38333358051602,1300826.2953291629
136.83605305973572,0.0,29.936,-5.98623233506045,-5.98623233506045,32421866.63948732,1.0,-53.02303587609395,-59.00753040630113,172051.66271609958
148.23905748138034,0.0,29.936,6.725559093648471,6.725559093648471,251221669.94319186,0.0,-65.3836672007049,-58.62827773575678,1333146.7464429992
159.642061903025,0.0,29.936,-3.1567550629605705,-3.1567550629605705,56892699.49327408,1.0,-55.09209178623402,-58.246048811373726,301909.9317466067
171.04506632466962,0.0,29.936,-0.8660999614623108,-0.8660999614623105,86330424.94283232,1.0,-56.99961462751078,-57.86137419915035,458125.78651198256
182.44807074631427,0.0,29.936,-6.904229573971428,-6.904229573971428,26780549.22246729,1.0,-50.57160198852092,-57.47484324815993,142115.13708973496
193.85107516795892,0.0,29.936,-6.3255826975363405,-6.3255826975363405,30222667.034229293,1.0,-50.76255490722163,-57.087104871497274,160381.26899890378
205.25407958960355,0.0,29.936,0.893836757268744,0.8938367572687439,115608855.41330725,0.0,-57.59768516139425,-56.6988675507082,613496.3177702834
216.6570840112482,0.0,29.936,-4.444584133491688,-4.444584133491688,44293798.47685292,1.0,-51.86764628412291,-56.31089848473046,235051.9098944419
228.06008843289283,0.0,29.936,-5.290268393684869,-5.290268393684869,37382409.858376004,1.0,-50.6347562289368,-55.92402183308508,198375.5544979938
239.46309285453748,0.0,29.936,-6.174268882932296,-6.174268882932296,31186202.7748206,1.0,-49.36559585665368,-55.53911604195049,165494.42081395743
250.86609727618213,0.0,29.936,4.866577822725006,4.866577822725005,202382472.1641835,0.0,-60.03240957151442,-55.157110290210056,1073973.9703337795
262.2691016978268,0.0,29.936,10.326698146472253,10.326698146472253,355842283.48387235,0.0,-65.13384654018209,-54.77898014855681,1888332.2548594016
273.67210611947144,0.0,29.936,-8.903282030443165,-8.903282030443165,17469740.440892085,1.0,-45.50276821612789,-54.405742604482754,92705.88653934759
285.07511054111603,0.0,29.936,-5.592931276015875,-5.592931276015875,35148306.06493657,1.0,-48.44612523969224,-54.03845066371311,186519.93629390642
296.4781149627607,0.0,29.936,-5.218473913005617,-5.218473913005617,37930298.042323224,1.0,-48.46032170911399,-53.67818778657892,201283.0081026489
307.88111938440534,0.0,29.936,-6.8379925655518505,-6.8379925655518505,27155696.48171186,1.0,-46.48845590163,-53.3260624464762,144105.9141919332
319.28412380605,0.0,29.936,2.419650320151028,2.419650320151028,145716432.9692237,0.0,-55.40586101628779,-52.98320309649607,773266.8466065361
330.68712822769464,0.0,29.936,-5.021123835555102,-5.021123835555102,39472637.29783033,1.0,-47.630132033286365,-52.6507537894328,209467.67051992987
