x_m,y_m,z_m,margin_db,sinr_db,rate_bps,outage,i_dbm,p_rx_dbm,ee_bpj
147.81886409719047,227.4136370726007,29.9488127,-15.934046240467232,-15.934046240467232,3633205.1404473735,1.0,-34.959724158540254,-50.89374324991171,19280.166449186756
159.1895459508205,227.4136370726007,29.9488127,-14.18153820553811,-14.18153820553811,5405785.322042969,1.0,-36.2076116471728,-50.389113666453625,28686.63804233345
147.81886409719047,238.78431892623075,29.9488127,-11.674712251567449,-11.674712251567449,9491584.812682783,1.0,-39.034633353136826,-50.70927622312557,50368.56659092021
159.1895459508205,193.3015915117106,29.9488127,-11.488293209501222,-11.488293209501222,9893917.51886732,1.0,-39.600188703817615,-51.088402881999855,52503.60748273026
159.1895459508205,216.04295521897066,29.9488127,-11.186814820071788,-11.186814820071788,10579661.482605932,1.0,-39.41628631453904,-50.603025379985425,56142.61415901651
170.56022780445053,272.8963644871209,29.9488127,-9.693151068532742,-9.693151068532742,14707356.268030751,1.0,-39.522064678242536,-49.2151381244054,78046.86658574057
147.81886409719047,181.93090965808057,29.9488127,-9.668976812110984,-9.668976812110984,14785383.55681716,1.0,-42.153473922275985,-51.82230846069882,78460.93049273909
170.56022780445053,204.67227336534063,29.9488127,-9.480940901908113,-9.480940901908113,15405861.53726346,1.0,-40.873061221402295,-50.35389617717097,81753.59310842252
170.56022780445053,238.78431892623075,29.9488127,-8.630397384582288,-8.630397384582288,18532821.939192895,1.0,-41.052638404537625,-49.68292537041964,98347.29335343312
113.70681853630035,250.15500077986079,29.9488127,-8.554968606477075,-8.554968606477075,18837202.481978852,1.0,-43.55245876879429,-52.107231030034185,99962.53590152785
136.44818224356044,216.04295521897066,29.9488127,-8.288616397555742,-8.288616397555742,19949840.636578277,1.0,-43.30699276679937,-51.59542360865068,105866.92279660734
159.1895459508205,238.78431892623075,29.9488127,-8.047129773010383,-8.047129773010383,21011287.667591233,1.0,-42.14896439488199,-50.19595204185603,111499.65605658642
181.93090965808057,227.4136370726007,29.9488127,-8.006754984689103,-8.006754984689103,21193796.044294003,1.0,-41.37678787694732,-49.383423886242824,112468.1650576408
113.70681853630035,170.56022780445053,29.9488127,-7.797355458635906,-7.797355458635906,22164175.0668875,1.0,-45.681662620403756,-53.4786975004276,117617.63180977086
102.33613668267031,227.4136370726007,29.9488127,-7.709866879741433,-7.709866879741433,22581657.759302817,1.0,-45.208764435582836,-52.9183438096771,119833.06845269898
136.44818224356044,227.4136370726007,29.9488127,-7.507763026240575,-7.507763026240575,23573974.934594177,1.0,-43.891874479844546,-51.399425200634596,125098.95341389014
159.1895459508205,261.5256826334908,29.9488127,-7.311482797704187,-7.311482797704187,24575974.848508123,1.0,-42.56503555684735,-49.8763619389583,130416.22132900513
170.56022780445053,261.5256826334908,29.9488127,-7.154121589179596,-7.154121589179596,25407352.684868082,1.0,-42.192461249299804,-49.34643928184818,134828.05673260996
159.1895459508205,272.8963644871209,29.9488127,-6.911757863041892,-6.911757863041892,26738210.92063673,1.0,-42.84041741878748,-49.75200862707017,141890.46232601695
113.70681853630035,272.8963644871209,29.9488127,-6.780080061868233,-6.780080061868233,27487602.93623157,1.0,-45.101072186841016,-51.8808717844619,145867.22725886104
125.07750038993039,227.4136370726007,29.9488127,-6.763319203796442,-6.763319203796442,27584347.201295156,1.0,-45.142757638580555,-51.905793673240396,146380.61570276282
113.70681853630035,261.5256826334908,29.9488127,-6.7116556152659115,-6.7116556152659115,27884498.071418274,1.0,-45.27252516520514,-51.98388902282937,147973.41283701145
147.81886409719047,216.04295521897066,29.9488127,-6.511774125985248,-6.511774125985248,29073815.036653694,1.0,-44.586830240947926,-51.09835522038303,154284.70773068682
90.96545482904028,295.63772819438094,29.9488127,-6.321737391139877,-6.321737391139877,30246818.280294895,1.0,-46.482681024957806,-52.80403290832548,160509.43133108708
136.44818224356044,238.78431892623075,29.9488127,-6.229200458473883,-6.229200458473883,30833269.182988178,1.0,-44.9940167107139,-51.22294353377549,163621.5239823735
