x_m,y_m,field_score,combined_metric_risk,global_confidence,metric_confidence,poor_proximity,nearest_measured_dist_m,nearest_poor_dist_m,predicted_sinr_db,predicted_throughput_mbps
0.0,0.0,0.00024642288657272186,0.4540244621191434,0.0006385039701509238,0.000632855364953009,0.00011410219125314745,147.1276532915382,181.56832193216036,19.25009423514215,314.5451562758063
21.17299379641455,0.0,0.0005020103551683448,0.4540584191533946,0.0013005688854084813,0.0012880024475569914,0.00028828859231530486,132.89907012150104,163.03097045803173,19.250164404849688,314.5416534789369
42.3459875928291,0.0,0.0008808983137491915,0.4333898767499188,0.002390583245817428,0.0023670353473431655,0.0007025404760723656,120.72435813807525,145.21615082462634,19.498565378222327,314.53887807237675
63.51898138924365,0.0,0.0014131740021902845,0.4334080488664155,0.0038334711300176405,0.003795764259630236,0.0016266298243102712,111.2796917193199,128.4248999406254,19.498485580193222,314.5378641116718
84.6919751856582,0.0,0.0020496288052271583,0.4658973732443218,0.00516881591221028,0.005119709450286433,0.0034975288129508826,105.302232944271,113.11397226604987,19.49850218849547,311.6786817721996
105.86496898207274,0.0,0.0024115147116783,0.3795390782160428,0.007451671672900004,0.007403686000686449,0.006749450587337116,97.98633772274393,99.96588343757966,20.9171037217579,308.87513382409696
127.0379627784873,0.0,0.004104579773144301,0.39021209188229383,0.012313045671257707,0.012233343201199386,0.011145555802500953,87.94191909976362,89.93428886533124,20.91716080323595,307.93549002396117
148.21095657490184,0.0,0.005469037935346657,0.39022846073417344,0.01637791096955649,0.01627678607798202,0.014889972181431768,82.23643488253322,84.1413460111968,20.91717705452953,307.93393038884284
169.3839503713164,0.0,0.006220213979277152,0.4336004500220565,0.0167719688998892,0.01668864760725783,0.01539501461143274,81.76092607925781,83.4742309700728,21.0,303.5098270647257
190.55694416773093,0.0,0.008730442859248134,0.42270450126886333,0.024115899859154404,0.024046348476591026,0.018142484255829063,74.4976782165717,80.18997789236782,22.499895101127912,293.469439813402
211.72993796414548,0.0,0.011804090868325238,0.4224940901844407,0.03253414929708345,0.03245919529782175,0.02467723603465195,68.50929987385489,74.03748156659006,22.49968644909279,293.48948610375544
