dataset_id,track_id,selection_id,selection_role,source_zip_path,internal_path,row_number,metric_name,raw_metric_value,longitude,latitude,altitude_m,x_local_m,y_local_m,z_local_m,x_aligned_m,y_aligned_m,bs_distance_m,bs_bearing_deg,bs_elevation_deg,note,x_m,y_m,field_score,combined_metric_risk,global_confidence,metric_confidence,poor_proximity,nearest_measured_dist_m,nearest_poor_dist_m,predicted_sinr_db,predicted_throughput_mbps
dryad,yaw315_input_throughput_with_header,,candidate,C:\Users\52834\Downloads\doi_10_5061_dryad_wh70rxx06__v20250521.zip,Dryad/yaw315/input_throughput_with_header.csv,259,measured_throughput_mbps,271.0,-78.698727,35.7259062,29.9617683,-45.59759952208127,-238.26182099855674,29.9617683,275.5094639333991,60.98963484708855,nan,nan,nan,,275.5094639333991,60.98963484708855,0.7617424242424242,0.7196969696969697,1.0,0.9994003311372288,1.0,0.0,0.0,22.0,271.0
dryad,yaw315_input_throughput_with_header,,candidate,C:\Users\52834\Downloads\doi_10_5061_dryad_wh70rxx06__v20250521.zip,Dryad/yaw315/input_throughput_with_header.csv,260,measured_throughput_mbps,257.0,-78.6987322,35.7258977,30.020798,-46.06699204101392,-239.20697787523605,30.020798,275.04007141446647,60.04447797040925,nan,nan,nan,,275.04007141446647,60.04447797040925,0.8583333333333334,0.8333333333333334,1.0,0.9986998593617675,1.0,0.0,0.0,22.0,257.0
dryad,yaw315_input_throughput_with_header,,candidate,C:\Users\52834\Downloads\doi_10_5061_dryad_wh70rxx06__v20250521.zip,Dryad/yaw315/input_throughput_with_header.csv,261,measured_throughput_mbps,255.0,-78.698729,35.725909,30.036727,-45.778135106197794,-237.9504752035697,30.036727,275.3289283492826,61.30098064207559,nan,nan,nan,,275.3289283492826,61.30098064207559,0.8288194444444444,0.798611111111111,1.0,0.9982750710714373,1.0,0.0,0.0,22.416666666666668,255.0
dryad,yaw315_input_throughput_with_header,,candidate,C:\Users\52834\Downloads\doi_10_5061_dryad_wh70rxx06__v20250521.zip,Dryad/yaw315/input_throughput_with_header.csv,262,measured_throughput_mbps,247.0,-78.6987182,35.7259416,30.0972482,-44.803242949901424,-234.32552059576074,30.0972482,276.303820505579,64.92593524988456,nan,nan,nan,,276.303820505579,64.92593524988456,0.8394996460375922,0.8111760541618732,1.0,0.9939887384703252,1.0,0.0,0.0,22.265887350057522,247.0
dryad,yaw315_input_throughput_with_header,,candidate,C:\Users\52834\Downloads\doi_10_5061_dryad_wh70rxx06__v20250521.zip,Dryad/yaw315/input_throughput_with_header.csv,263,measured_throughput_mbps,247.0,-78.6986994,35.7259947,30.1679477,-43.10620845484214,-228.4210699905057,30.1679477,278.00085500063824,70.83038585513958,nan,nan,nan,,278.00085500063824,70.83038585513958,0.8457531281696007,0.8185330919642361,1.0,0.990001922928232,1.0,0.0,0.0,22.177602896429168,247.0
dryad,yaw315_input_throughput_with_header,,candidate,C:\Users\52834\Downloads\doi_10_5061_dryad_wh70rxx06__v20250521.zip,Dryad/yaw315/input_throughput_with_header.csv,264,measured_throughput_mbps,244.0,-78.698674,35.7260684,30.2755292,-40.81340653093507,-220.2260038967938,30.2755292,280.2936569245453,79.0254519488515,nan,nan,nan,,280.2936569245453,79.0254519488515,0.8461495484980306,0.8189994688212124,1.0,0.9897392783276469,1.0,0.0,0.0,22.17200637414545,244.0
dryad,yaw315_input_throughput_with_header,,candidate,C:\Users\52834\Downloads\doi_10_5061_dryad_wh70rxx06__v20250521.zip,Dryad/yaw315/input_throughput_with_header.csv,265,measured_throughput_mbps,262.0,-78.6986457,35.7261527,30.2218158,-38.25882800931257,-210.852271580516,30.2218158,282.8482354461678,88.39918426512929,nan,nan,nan,,282.8482354461678,88.39918426512929,0.8486633615881284,0.8219568959860334,1.0,0.9864363924206747,1.0,0.0,0.0,22.000153611803963,262.0
dryad,yaw315_input_throughput_with_header,,candidate,C:\Users\52834\Downloads\doi_10_5061_dryad_wh70rxx06__v20250521.zip,Dryad/yaw315/input_throughput_with_header.csv,267,measured_throughput_mbps,282.0,-78.6985884,35.7263241,30.0143319,-33.086483512832615,-191.79346115368068,30.0143319,288.02057994264777,107.45799469196461,nan,nan,nan,,288.02057994264777,107.45799469196461,0.6914016083796419,0.6369430686819317,1.0,0.9919534381855922,1.0,0.0,0.0,21.493046812180456,282.0
dryad,yaw315_input_throughput_with_header,,candidate,C:\Users\52834\Downloads\doi_10_5061_dryad_wh70rxx06__v20250521.zip,Dryad/yaw315/input_throughput_with_header.csv,287,measured_throughput_mbps,195.0,-78.6979953,35.7280648,30.138126,20.451344085946605,1.7635476559383356,30.138126,341.558407541427,301.01500350158364,nan,nan,nan,,341.558407541427,301.01500350158364,1.349680565467438,1.4113889005499272,1.0,0.9706577609383844,1.0,0.0,0.0,15.063333193400876,195.0
dryad,yaw315_input_throughput_with_header,,candidate,C:\Users\52834\Downloads\doi_10_5061_dryad_wh70rxx06__v20250521.zip,Dryad/yaw315/input_throughput_with_header.csv,326,measured_throughput_mbps,269.0,-78.6975992,35.7295368,29.822076,56.206416607331185,165.4424796767152,29.822076,377.31348006281155,464.6939355223605,nan,nan,nan,,377.31348006281155,464.6939355223605,0.7102272727272727,0.6590909090909091,1.0,0.9795143125313955,1.0,0.0,0.0,23.0,269.0
