index,value
0,68.09102394681823
1,6.567849390639807
2,221.75689373535167
3,125.12913187425124
4,1.0
5,5.0
6,3.0
7,1.0
8,3.0
9,2.0
10,4.0
11,3.0
12,69.74433179399088
13,12.213757017526666
14,46.67067220904945
15,45.47544134351862
16,56.865129274736056
17,29.898324430923154
18,14.624608967156224
19,35.34467646467065
20,0.0
21,1.0
22,0.0
23,1.0
24,1.0
25,0.0
26,0.0
27,1.0
28,75.63433554259524
29,320.3742344651139
30,77.93968269977417
31,114.75337888388448
32,577.8824864786305
33,594.723808268977
34,370.4323214997383
35,484.404072611405
36,278.67074289691845
37,36.494843179248726
38,257.94724915524193
39,366.3706333335269
40,166.27577859599597
41,502.3493751115774
42,466.814595630426
43,114.5994637497351
