index,value
0,10.640860795974731
1,0.6347823143005371
2,139.5664734834699
3,558.7294840229716
4,0.0
5,0.0
6,7.0
7,7.0
8,7.0
9,7.0
10,1.0
11,1.0
12,0.49917072057724
13,48.75764548778534
14,4.858274161815643
15,59.650388956069946
16,67.1299159526825
17,68.9977240562439
18,3.431013524532318
19,21.44021451473236
20,1.0
21,1.0
22,1.0
23,0.0
24,0.0
25,1.0
26,1.0
27,0.0
28,558.2009320322345
29,453.770631030635
30,601.420066897586
31,610.3262155192374
32,607.0585403708532
33,595.6171940653387
34,13.387220597129685
35,593.8097526711728
36,17.30929083417022
37,405.8739830590559
38,16.33546618069225
39,58.68204376262322
40,602.1555820172263
41,604.3767666779261
42,13.3048562254946
43,62.843576378516616
