x_m,y_m,z_m,margin_db,sinr_db,rate_bps,outage,i_dbm,p_rx_dbm,ee_bpj
259.26831106055187,64.81707776513797,29.936,-9.64555919082079,-9.64555919082079,14861343.381992381,1.0,-43.37048601265777,-53.01585691510755,78864.02308350017
226.85977217798288,32.40853888256898,29.936,-9.297403484118284,-9.297403484118284,16035231.539011855,1.0,-45.78944693424298,-55.086521784300714,85093.44261395851
291.6768499431208,32.40853888256898,29.936,-9.088088209921963,-9.088088209921963,16782647.352497417,1.0,-43.67948743401698,-52.76737347103648,89059.72052387624
129.63415553027593,64.81707776513797,29.936,-8.776961995343946,-8.776961995343946,17954522.501190014,1.0,-49.26047297685973,-58.036704178042584,95278.45771350728
162.04269441284492,32.40853888256898,29.936,-8.679063655176954,-8.679063655176954,18338889.693807155,1.0,-48.777425503562085,-57.45583528459045,97318.1618218067
259.26831106055187,32.40853888256898,29.936,-7.977575302610248,-7.977575302610248,21326613.598021183,1.0,-45.932180873517154,-53.9094165622581,113172.98200142573
