index,value
0,43.23760986328125
1,14.539306640625
2,45.833897154384445
3,305.7342052211515
4,7.0
5,3.0
6,3.0
7,2.0
8,1.0
9,1.0
10,7.0
11,3.0
12,17.781982421875
13,41.62872314453125
14,55.95001220703125
15,48.34503173828125
16,31.21673583984375
17,39.033203125
18,41.5240478515625
19,25.50872802734375
20,1.0
21,0.0
22,-0.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,56.5709466513028
29,325.7654546316327
30,168.21377545172084
31,320.2938691986481
32,542.3990135040116
33,225.96523539849633
34,31.79890575265348
35,335.2095609954143
36,31.63026099615738
37,121.10567347047697
38,241.38686146475078
39,334.31012229410175
40,281.8616030238147
41,216.83968024142962
42,16.096205092238854
43,389.08219154277947
