x_m,y_m,z_m,margin_db,sinr_db,rate_bps,outage,i_dbm,p_rx_dbm,ee_bpj
170.56022780445053,238.78431892623075,29.9488127,-14.245754153440807,-14.245754153440807,5327889.050915554,1.0,-35.43720152118753,-49.68292537041964,28273.269400858222
159.1895459508205,216.04295521897066,29.9488127,-13.098851416061471,-13.098851416061471,6900207.57887621,1.0,-37.504222739695344,-50.603025379985425,36617.02147605456
159.1895459508205,227.4136370726007,29.9488127,-12.970475517225658,-12.970475517225658,7102205.742887139,1.0,-37.418685973736686,-50.389113666453625,37688.95605558157
170.56022780445053,250.15500077986079,29.9488127,-11.20141617035813,-11.20141617035813,10545418.192255782,1.0,-38.30139992458041,-49.50275749173281,55960.896828946505
136.44818224356044,238.78431892623075,29.9488127,-10.707365264082213,-10.707365264082213,11765459.398208763,1.0,-40.515675846593396,-51.22294353377549,62435.234670146296
125.07750038993039,238.78431892623075,29.9488127,-9.029928287996576,-9.029928287996576,16996086.640024465,1.0,-42.706980287572655,-51.73674696332564,90192.36919942297
170.56022780445053,227.4136370726007,29.9488127,-8.319772217777093,-8.319772217777093,19816593.939123392,1.0,-41.566050712009854,-49.88569865495951,105159.82853508754
125.07750038993039,204.67227336534063,29.9488127,-8.251184905994052,-8.251184905994052,20111031.71323331,1.0,-44.048655172808225,-52.29961996928414,106722.30823945905
147.81886409719047,227.4136370726007,29.9488127,-8.186545902414593,-8.186545902414593,20392246.9003884,1.0,-42.70735897383296,-50.89374324991171,108214.62023583637
147.81886409719047,216.04295521897066,29.9488127,-7.2465493573021575,-7.2465493573021575,24915966.446075857,1.0,-43.852016229016314,-51.09835522038303,132220.43946121432
136.44818224356044,204.67227336534063,29.9488127,-7.165222694117666,-7.165222694117666,25347869.37650074,1.0,-44.644998741182846,-51.809968929383146,134512.39933316858
113.70681853630035,204.67227336534063,29.9488127,-6.9759369765466275,-6.9759369765466275,26379741.135696605,1.0,-45.81465644910813,-52.79026287849581,139988.18682725477
147.81886409719047,284.2670463407509,29.9488127,-6.663677615264504,-6.663677615264504,28165884.801896084,1.0,-43.52856997436729,-50.19205232142173,149466.6351546306
181.93090965808057,216.04295521897066,29.9488127,-6.398170523059029,-6.398170523059029,29770005.845103588,1.0,-43.22083332765911,-49.618821939891035,157979.15220834024
602.6461382423919,614.0168200960219,29.9488127,-6.368907270929313,-6.368907270929313,29951753.79249378,1.0,-49.06356944124056,-55.43177830878622,158943.62587333386
90.96545482904028,272.8963644871209,29.9488127,-6.363446391419679,-6.363446391419679,29985780.5203716,1.0,-46.572001321696405,-52.93505419496648,159124.19398106387
125.07750038993039,216.04295521897066,29.9488127,-6.328464183195919,-6.328464183195919,30204580.627905697,1.0,-45.765578676705005,-52.09371602694843,160285.29067923652
136.44818224356044,181.93090965808057,29.9488127,-6.273166013361688,-6.273166013361688,30553377.405986693,1.0,-46.017804873382346,-52.29062451099358,162136.23486718666
159.1895459508205,181.93090965808057,29.9488127,-6.220408422229497,-6.220408422229497,30889515.912609782,1.0,-45.1373609605476,-51.35748656528527,163920.00597483083
90.96545482904028,181.93090965808057,29.9488127,-5.990937471148605,-5.990937471148605,32390421.629816994,1.0,-48.19074541685939,-54.18111163264551,171884.79489636357
90.96545482904028,204.67227336534063,29.9488127,-5.882003143896171,-5.882003143896171,33125455.998089705,1.0,-47.88978157822716,-53.77125171155723,175785.36874736985
147.81886409719047,250.15500077986079,29.9488127,-5.881429532131179,-5.881429532131179,33129365.42593027,1.0,-44.6647919113432,-50.545967784157,175806.1147324088
125.07750038993039,181.93090965808057,29.9488127,-5.814089665430458,-5.814089665430458,33591178.53854233,1.0,-46.94791215170204,-52.761572721522356,178256.79762406662
136.44818224356044,261.5256826334908,29.9488127,-5.714527762120774,-5.714527762120774,34284442.53973883,1.0,-45.217888390145134,-50.932128041992414,181935.71054519384
125.07750038993039,250.15500077986079,29.9488127,-5.7081759206645515,-5.7081759206645515,34329098.66731559,1.0,-45.879572317243856,-51.58741271299985,182172.68521064034
