index,value
0,43.18145121691264
1,17.43985933985853
2,491.19075581554773
3,520.5492647534724
4,5.0
5,3.0
6,2.0
7,2.0
8,2.0
9,1.0
10,5.0
11,6.0
12,23.98003012672549
13,69.10664600276476
14,61.08287858763978
15,69.1681192998695
16,29.358824562065745
17,28.08946316550213
18,36.57535473656004
19,50.88032481664627
20,1.0
21,0.0
22,0.0
23,1.0
24,0.0
25,1.0
26,0.0
27,0.0
28,186.02739293397207
29,555.3975645410753
30,19.139903256236305
31,201.01346933918404
32,471.61136162909605
33,341.8549254037908
34,484.1659920161369
35,202.06369199162413
36,322.77806140483426
37,609.0495793464803
38,48.4999055984087
39,182.56137088508285
40,316.16971552062796
41,542.8541068805102
42,570.9408969913326
43,528.9212941743009
