x_m,y_m,z_m,margin_db,sinr_db,rate_bps,outage,i_dbm,p_rx_dbm,ee_bpj
0.0,335.8703120557149,29.936,-12.450360994951211,-12.450360994951211,7981235.095835411,1.0,-49.38887702753456,-61.838485300887925,42353.661620893174
0.0,279.89192671309576,29.936,-9.99333937505061,-9.99333937505061,13770481.055154126,1.0,-51.588052470839905,-61.580142947482614,73075.19299503481
223.91354137047662,55.978385342619156,29.936,-9.901911016723375,-9.901911016723375,14049634.59245179,1.0,-44.70359932902403,-54.6052544097066,74556.56452676053
279.89192671309576,0.0,29.936,-7.56364612791851,-7.56364612791851,23295646.618797146,1.0,-46.641349661618946,-54.204595937526335,123621.9610480179
