x_m,y_m,field_score,combined_metric_risk,global_confidence,metric_confidence,poor_proximity,nearest_measured_dist_m,nearest_poor_dist_m,predicted_sinr_db,predicted_throughput_mbps
385.38813351227043,135.04622105352843,0.9940978939676921,1.10044023722596,0.9254394342650609,0.9211360275284892,0.9254394342650609,1.5497318041317107,1.5497318041317107,17.500409574436144,175.11809000392424
392.3686153583596,163.51721468892367,1.0200158791002891,1.0469485574882647,0.9832486926515025,0.9832486926515025,0.9832486926515025,0.33786394581456597,0.33786394581456597,18.00120106262369,187.27851982124741
395.8585626630882,173.96826503088133,1.0174121143046926,1.071618214650311,0.9639447941084586,0.9637233866795966,0.9639447941084586,0.7344250706756904,0.7344250706756904,17.52487931032655,186.91370419677872
366.79798344903776,77.29502170366736,1.17123062209778,1.2852557297133056,0.9485562690321947,0.9485562690321947,0.9485562690321947,1.0562833427327776,1.0562833427327776,14.596132861091496,158.19234187900784
171.53005853429153,146.61125928663023,0.9346797018168237,0.9434379147675003,0.9843188474783796,0.9843188474783796,0.9843188474783796,0.31610804853375635,0.31610804853375635,21.02610116248868,166.87685338598735
214.33432388663354,102.03823719832282,1.0396012379810025,1.1083291004291091,0.9575316869571533,0.8980160248743312,0.9575316869571533,0.8679293009415018,0.8679293009415018,17.855314855007602,164.16206402508627
253.53413079098232,476.7598045246452,0.8511864206557838,0.8407300913742692,0.9867334078583949,0.9867334078583949,0.9867334078583949,0.2671075904021477,0.2671075904021477,19.41568846040406,245.1886965478026
257.8450349074239,60.00207736080243,1.0749442340796171,1.2104243082843094,0.9210976223950287,0.920949679551238,0.9210976223950287,1.6437850451642186,1.6437850451642186,16.710487941262162,144.99152333451374
336.42493036218434,141.5005388772322,1.0657521046903833,1.0991393279251445,0.984970687372528,0.9843607105133987,0.984970687372528,0.3028679453103653,0.3028679453103653,17.586560007293894,173.8330638889227
338.96179261297135,121.89858009684536,0.939787250058146,0.9849158847318442,0.9581228951053553,0.9580096099233658,0.9578963247413763,0.8555845249571881,0.8603145477604708,19.91759557362419,172.83793345726082
368.9619504384245,82.19257521560343,1.1960792534098392,1.2649525278632294,0.9787683187467613,0.9787683187467613,0.9787683187467613,0.42920630760976747,0.42920630760976747,15.397284287210695,149.74932437356316
282.70041259881555,145.91655835082443,0.8241333913039186,0.8624242797374622,0.9424781481197814,0.9424781481197814,0.9424781481197814,1.1848508989509499,1.1848508989509499,20.078346386541764,221.75560055981117
